#x y z mass
#[Mpc/h] [Mpc/h] [Mpc/h] [Msun/h]
134.7537 148.2645 46.8363 0.1117E+15
116.3997 23.7732 137.8295 0.1111E+15
173.1176 141.9740 94.7224 0.1110E+15
28.4584 147.4342 76.2363 0.1107E+15
84.5505 93.7593 114.8168 0.1103E+15
36.5237 160.0176 9.1524 0.1103E+15
102.8110 152.9285 15.7999 0.1099E+15
15.3580 131.1508 56.3362 0.1098E+15
120.7214 34.5918 45.8128 0.1097E+15
75.4053 152.5772 123.9247 0.1096E+15
59.6356 28.2703 34.3745 0.1095E+15
91.7254 29.8064 133.4963 0.1094E+15
40.1473 170.8282 152.1015 0.1082E+15
196.4942 100.1263 111.0942 0.1081E+15
5.7300 132.3182 135.0111 0.1079E+15
49.6965 103.0908 197.3038 0.1071E+15
164.7442 78.4977 3.2957 0.1065E+15
165.7056 72.5432 173.8778 0.1064E+15
95.5850 199.4721 118.8960 0.1062E+15
169.5609 56.6488 135.1515 0.1056E+15
192.0705 121.8862 188.9190 0.1056E+15
148.0147 67.0660 180.7304 0.1053E+15
57.0196 31.4505 27.4680 0.1051E+15
21.6947 67.0642 17.5908 0.1047E+15
80.9789 49.1287 75.0073 0.1047E+15
52.0940 164.0816 165.0809 0.1045E+15
126.4260 100.2979 2.6293 0.1045E+15
131.9639 193.6768 7.7028 0.1045E+15
96.3638 169.5674 169.7225 0.1043E+15
195.5721 80.1684 111.7072 0.1030E+15
195.2391 68.0742 160.0312 0.1029E+15
164.1189 13.1088 41.6198 0.1028E+15
147.0147 189.5649 93.7861 0.1018E+15
10.5618 131.8641 189.4086 0.1017E+15
143.1463 62.3528 103.7343 0.1012E+15
6.4552 138.5457 134.9178 0.1010E+15
145.0572 115.5782 199.4397 0.1007E+15
61.4049 180.1629 188.1069 0.1003E+15
144.1278 17.0669 154.4745 0.1003E+15
168.0456 8.7229 83.5285 0.1002E+15
135.9996 4.4120 192.9620 0.1001E+15
17.9200 69.6513 17.2972 0.9966E+14
158.5531 14.1926 175.8184 0.9962E+14
99.0894 182.7300 20.8552 0.9935E+14
132.9594 0.1027 8.2722 0.9930E+14
93.2206 45.1361 128.2346 0.9867E+14
112.6574 60.1595 20.8730 0.9864E+14
8.6893 133.4509 162.3009 0.9849E+14
173.8772 162.1772 34.0100 0.9815E+14
159.0038 0.7951 131.8833 0.9807E+14
